,,,,,,,,,,,,,
,,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
city,agg_account_name,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
Madrid,Gross Branding Spend,589786,584145,740411,704489,797321,975807,623005,438905,848016,749872,742919,1060218
Madrid,Gross Demand Spend,683589,578663,700747,597213,716753,701895,306435,151150,589252,655676,593142,771731
Madrid,Gross Net Rate,719356,532920,703391,837446,889560,1033225,1088987,767138,811045,1349439,1233589,1286747
Madrid,Gross Supply Spend,817866,652535,621417,693982,793010,459226,487970,738381,707306,513206,666999,575104
Madrid,Group Allocations,8648,8120,8471,8116,8175,7682,18759,6251,7211,7637,7826,7825
Madrid,Issued loans outflow,0,0,2500000,0,0,0,2500000,0,0,2500000,0,0
Madrid,Local Operations,99337,92812,92863,97505,97292,91157,90882,72429,86742,90927,92726,92565
Madrid,Local ops Office Expenses,64,58,56,52,51,45,38,36,43,45,49,48
Madrid,Local ops Outsourced Services,14022,12779,13231,12315,11988,10686,9006,8426,10785,11457,12235,12136
Madrid,Local ops Software & Tools,3068,2466,2844,5121,3848,3142,2566,2114,3021,3237,2898,2668
Madrid,Marketing Admin,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,Net Rate,719356,532920,703391,837446,889560,1033225,1088987,767138,811045,1349439,1233589,1286747
